"Player","Minutes","Apps","Starts","Subbed_On","Subbed.off","Goals","Yellows","Second_Yellows","Reds","Club","Season"
"Conor Coady",3364,38,38,0,3,4,4,0,0,"wolverhampton-wanderers",2021
"Jose Sa",3286,37,37,0,1,0,3,0,0,"wolverhampton-wanderers",2021
"Joao Moutinho",2975,35,34,1,6,2,4,0,0,"wolverhampton-wanderers",2021
"Raul Jimenez",2637,34,30,4,8,6,5,2,0,"wolverhampton-wanderers",2021
"Ruben Neves",2663,33,31,2,4,4,9,0,0,"wolverhampton-wanderers",2021
"Romain Saiss",2710,31,31,0,4,2,6,0,0,"wolverhampton-wanderers",2021
"Leander Dendoncker",1946,30,21,9,4,2,4,0,0,"wolverhampton-wanderers",2021
"Hee-chan Hwang",1819,30,20,10,16,5,2,0,0,"wolverhampton-wanderers",2021
"Maximilian Kilman",2688,30,30,0,2,1,3,0,0,"wolverhampton-wanderers",2021
"Trincao",1341,28,16,12,15,2,0,0,0,"wolverhampton-wanderers",2021
"Daniel Podence",1481,26,15,11,11,2,2,0,0,"wolverhampton-wanderers",2021
"Nelson Semedo",2137,25,25,0,6,0,1,0,0,"wolverhampton-wanderers",2021
"Rayan Ait Nouri",1827,23,20,3,3,1,4,0,0,"wolverhampton-wanderers",2021
"Fabio Silva",564,22,6,16,4,0,0,0,0,"wolverhampton-wanderers",2021
"Adama Traore",1062,20,10,10,6,1,0,0,0,"wolverhampton-wanderers",2021
"Marcal",1453,18,17,1,5,0,3,0,0,"wolverhampton-wanderers",2021
"Jonny",1022,13,10,3,2,2,1,0,0,"wolverhampton-wanderers",2021
"Pedro Neto",464,13,5,8,5,1,3,0,0,"wolverhampton-wanderers",2021
"Willy Boly",900,10,10,0,0,0,1,0,0,"wolverhampton-wanderers",2021
"Chiquinho",203,8,1,7,0,0,0,0,0,"wolverhampton-wanderers",2021
"Ki-Jana Hoever",307,8,4,4,1,0,1,0,0,"wolverhampton-wanderers",2021
"Luke Cundle",180,4,2,2,1,0,0,0,0,"wolverhampton-wanderers",2021
"Toti",360,4,4,0,0,0,1,0,0,"wolverhampton-wanderers",2021
"Morgan Gibbs-White",7,2,0,2,0,0,1,0,0,"wolverhampton-wanderers",2021
"John Ruddy",135,2,1,1,0,0,0,0,0,"wolverhampton-wanderers",2021
"Chem Campbell",12,1,0,1,0,0,0,0,0,"wolverhampton-wanderers",2021
"Bruno Jordao",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Christian Marques",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Ryan Giles",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Hugo Bueno",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Yerson Mosquera",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Louie Moulden",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Dion Sanderson",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Jimmy Storer",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Dexter Lembikisa",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Connor Ronan",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2021
"Maximilian Kilman",3308,37,37,0,1,0,3,0,0,"wolverhampton-wanderers",2022
"Jose Sa",3240,36,36,0,0,0,2,0,0,"wolverhampton-wanderers",2022
"Nelson Semedo",2634,36,31,5,7,0,11,0,1,"wolverhampton-wanderers",2022
"Ruben Neves",3023,35,33,2,3,6,12,0,0,"wolverhampton-wanderers",2022
"Adama Traore",1486,34,12,22,9,2,2,0,0,"wolverhampton-wanderers",2022
"Matheus Nunes",2476,34,30,4,16,1,2,0,1,"wolverhampton-wanderers",2022
"Daniel Podence",1773,32,20,12,12,6,5,0,0,"wolverhampton-wanderers",2022
"Joao Moutinho",1785,31,20,11,14,0,3,0,0,"wolverhampton-wanderers",2022
"Hee-chan Hwang",1128,27,12,15,11,3,1,0,0,"wolverhampton-wanderers",2022
"Nathan Collins",1812,26,19,7,0,0,2,0,1,"wolverhampton-wanderers",2022
"Diego Costa",1249,23,16,7,14,1,5,0,1,"wolverhampton-wanderers",2022
"Rayan Ait Nouri",1069,21,9,12,5,1,4,0,0,"wolverhampton-wanderers",2022
"Hugo Bueno",1316,21,16,5,9,0,1,0,0,"wolverhampton-wanderers",2022
"Mario Lemina",1306,19,17,2,8,0,2,1,0,"wolverhampton-wanderers",2022
"Jonny",1262,18,14,4,4,1,3,0,1,"wolverhampton-wanderers",2022
"Pedro Neto",973,18,13,5,11,0,1,0,0,"wolverhampton-wanderers",2022
"Craig Dawson",1417,17,17,0,3,1,4,0,0,"wolverhampton-wanderers",2022
"Matheus Cunha",972,17,12,5,11,2,1,0,0,"wolverhampton-wanderers",2022
"Toti",981,17,10,7,3,1,6,0,0,"wolverhampton-wanderers",2022
"Raul Jimenez",842,15,8,7,3,0,0,0,0,"wolverhampton-wanderers",2022
"Goncalo Guedes",710,13,8,5,7,1,1,0,0,"wolverhampton-wanderers",2022
"Pablo Sarabia",771,13,9,4,7,1,3,0,0,"wolverhampton-wanderers",2022
"Joao Gomes",652,11,7,4,3,1,5,0,0,"wolverhampton-wanderers",2022
"Boubacar Traore II",406,10,4,6,2,0,2,0,0,"wolverhampton-wanderers",2022
"Joe Hodge",173,6,1,5,1,0,1,0,0,"wolverhampton-wanderers",2022
"Chem Campbell",68,5,0,5,0,0,0,0,0,"wolverhampton-wanderers",2022
"Leander Dendoncker",213,4,2,2,0,0,0,0,0,"wolverhampton-wanderers",2022
"Daniel Bentley",180,2,2,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Morgan Gibbs-White",180,2,2,0,0,0,1,0,0,"wolverhampton-wanderers",2022
"Sasa Kalajdzic",46,1,1,0,1,0,0,0,0,"wolverhampton-wanderers",2022
"Dexter Lembikisa",22,1,0,1,0,0,0,0,0,"wolverhampton-wanderers",2022
"Connor Ronan",1,1,0,1,0,0,0,0,0,"wolverhampton-wanderers",2022
"Willy Boly",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Conor Coady",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Luke Cundle",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Nathan Fraser",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Harvey Griffiths",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Yerson Mosquera",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Matija Sarkic",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Chiquinho",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Louie Moulden",0,0,0,0,0,0,0,0,0,"wolverhampton-wanderers",2022
"Adama Traore",2642,37,28,9,3,2,4,0,0,"wolverhampton-wanderers",2020
"Conor Coady",3304,37,37,0,1,1,5,0,0,"wolverhampton-wanderers",2020
"Rui Patricio",3329,37,37,0,1,0,1,0,0,"wolverhampton-wanderers",2020
"Ruben Neves",2679,36,31,5,10,5,7,0,0,"wolverhampton-wanderers",2020
"Nelson Semedo",2988,34,34,0,5,1,5,0,0,"wolverhampton-wanderers",2020
